seed,generator,n_real,n_synth,n_real_efectivo,n_train,tasa_positivos_train,epocas,segundos,val_pr_auc,val_roc_auc,val_f1,val_precision,val_recall,val_threshold,val_base_rate,val_lift,test_pr_auc,test_roc_auc,test_f1,test_precision,test_recall,test_threshold,test_base_rate,test_lift
1,autoregresivo,1000,500,1000,1500,0.36666666666666664,100,34.5,0.4502681019518334,0.7201064391937797,0.42911877394636017,0.5333333333333333,0.358974358974359,0.24497423437588361,0.1327659574468085,3.3914424345731047,0.24827247504573993,0.6849345826458583,0.24864864864864866,0.24598930481283424,0.25136612021857924,0.24497423437588361,0.07790549169859515,3.186841769849416
1,autoregresivo,1000,1000,1000,2000,0.525,100,38.6,0.7152380909655655,0.8633959575753001,0.7049808429118773,0.8761904761904762,0.5897435897435898,0.6221438182311901,0.1327659574468085,5.387209980029099,0.4568520611521218,0.7607372255776053,0.40498442367601245,0.47101449275362317,0.3551912568306011,0.6221438182311901,0.07790549169859515,5.864183014460842
1,autoregresivo,1000,2000,1000,3000,0.6833333333333333,100,49.0,0.6947724239995561,0.8270347374248257,0.6917293233082706,0.8363636363636363,0.5897435897435898,0.7722216147174356,0.1327659574468085,5.233061526919734,0.44363763656165006,0.744773927917291,0.3298429319371728,0.3165829145728643,0.3442622950819672,0.7722216147174356,0.07790549169859515,5.694561793897901
1,factor_mercado,1000,250,1000,1250,0.24,100,32.7,0.7410621941232375,0.895435444503158,0.7218045112781954,0.8727272727272727,0.6153846153846154,0.06728277274102229,0.1327659574468085,5.581718449325668,0.4887626831623621,0.8181483331567342,0.46689895470383275,0.6442307692307693,0.366120218579235,0.06728277274102229,0.07790549169859515,6.27378985108409
1,factor_mercado,1000,500,1000,1500,0.36666666666666664,100,34.2,0.7410951024662035,0.8998940011574948,0.6969147005444646,0.803347280334728,0.6153846153846154,0.08509985745954914,0.1327659574468085,5.581966316652495,0.45832780019783814,0.7281206323257094,0.43450479233226835,0.5230769230769231,0.37158469945355194,0.08509985745954914,0.07790549169859515,5.883125697621431
1,factor_mercado,1000,1000,1000,2000,0.525,100,37.5,0.7317144622859879,0.8869854180820815,0.6969147005444646,0.803347280334728,0.6153846153846154,0.09478701748642598,0.1327659574468085,5.51131085375664,0.46558053832774277,0.7628299249706088,0.4394904458598726,0.5267175572519084,0.3770491803278688,0.09478701748642598,0.07790549169859515,5.976222319846272
1,factor_mercado,1000,2000,1000,3000,0.6833333333333333,100,47.3,0.7251560161075957,0.8948331068669636,0.7150635208711433,0.8242677824267782,0.6314102564102564,0.13911371304207482,0.1327659574468085,5.461912300810417,0.43055484099083463,0.6163132161724415,0.39882697947214074,0.43037974683544306,0.37158469945355194,0.13911371304207482,0.07790549169859515,5.5266301720626805
1,sin_sinteticos,2000,0,2000,2000,0.05,100,37.9,0.7157267928410039,0.8670390780302458,0.6712564543889845,0.724907063197026,0.625,0.14365184783334498,0.1327659574468085,5.390890907616536,0.48410493424573425,0.8087103724222838,0.39634146341463417,0.4482758620689655,0.3551912568306011,0.14365184783334498,0.07790549169859515,6.214002680564097
1,ruido,2000,250,2000,2250,0.15555555555555556,100,42.0,0.7194807052205121,0.8717445459349286,0.6879699248120301,0.8318181818181818,0.5865384615384616,0.4184772466796789,0.1327659574468085,5.419165568167319,0.503737147537699,0.8228660521017815,0.43137254901960786,0.5365853658536586,0.36065573770491804,0.4184772466796789,0.07790549169859515,6.466003057738006
1,ruido,2000,500,2000,2500,0.24,100,43.7,0.7261622272946623,0.8684324752774213,0.706766917293233,0.8545454545454545,0.6025641025641025,0.43554628762452713,0.1327659574468085,5.469491135071976,0.472437239400973,0.7949028452638642,0.4065573770491803,0.5081967213114754,0.33879781420765026,0.43554628762452713,0.07790549169859515,6.064235384441997
1,ruido,2000,1000,2000,3000,0.36666666666666664,100,50.5,0.7323876420259081,0.8710195390151227,0.69921875,0.895,0.5737179487179487,0.5770388832222514,0.1327659574468085,5.516381278079757,0.5132909246731409,0.8345039331143504,0.42524916943521596,0.5423728813559322,0.34972677595628415,0.5770388832222514,0.07790549169859515,6.588635967525726
